ID;Location;Date;IC
R001;Tiputa;30/12/2021;
R001;Tiputa;20/12/2021;
R001;Tiputa;04/03/2023;
R002;Tiputa;20/12/2021;
R002;Tiputa;25/12/2021;
R003;Tiputa;19/12/2021;
R003;Tiputa;02/03/2022;
R003;Tiputa;10/03/2024;
R003;Tiputa;18/03/2025;
R004;Tiputa;26/01/2022;
R005;Tiputa;12/01/2016;
R005;Tiputa;19/12/2021;
R005;Tiputa;28/12/2023;
R005;Tiputa;18/02/2023;
R006;Tiputa;22/01/2019;
R006;Tiputa;20/08/2019;
R006;Tiputa;28/12/2021;
R006;Tiputa;27/12/2023;
R006;Tiputa;04/01/2024;
R007;Tiputa;06/01/2022;
R008;Tiputa/Tikehau;25/02/2010;
R008;Tiputa/Tikehau;02/02/2022;
R008;Tiputa/Tikehau;07/01/2022;
R008;Tiputa/Tikehau;06/03/2023;
R008;Tiputa/Tikehau;24/12/2023;
R008;Tiputa/Tikehau;21/02/2025;
R008;Tiputa/Tikehau;13/05/2023;
R009;Tiputa;05/02/2022;
R010;Tiputa;06/01/2022;
R011;Tiputa;13/03/2022;
R012;Tikehau;06/04/2022;
R012;Tikehau;16/03/2022;
R012;Tikehau;01/03/2023;
R012;Tikehau;04/02/2023;
R012;Tikehau;25/01/2025;
R012;Tikehau;21/12/2024;
R012;Tikehau;06/03/2025;
R013;Tiputa;17/12/2021;
R014;Tiputa;02/04/2022;
N001;Tiputa;01/01/2021;
N001;Tiputa;20/01/2021;
N001;Tiputa;28/01/2021;
N002;Tiputa;XX/01/2017;
N002;Tiputa;05/01/2017;
N002;Tiputa;02/01/2021;
N002;Tiputa;15/01/2021;
N002;Tiputa;27/01/2021;
N002;Tiputa;20/02/2021;
N002;Tiputa;21/02/2021;
N002;Tiputa;03/02/2021;
N002;Tiputa;19/02/2021;
N002;Tiputa;28/12/2019;
N002;Tiputa;03/01/2022;
N002;Tiputa;11/01/2023;
N002;Tiputa;15/02/2023;
N002;Tiputa;16/02/2023;
N002;Tiputa;18/02/2023;
N002;Tiputa;24/02/2023;
N002;Tiputa;07/03/2023;
N002;Tiputa;17/02/2024;
N002;Tiputa;01/01/2025;
N003;Tiputa;05/01/2021;
N003;Tiputa;07/02/2023;
N003;Tiputa;11/02/2023;
N003;Tiputa;25/02/2023;
N004;Tiputa;27/01/2021;
N006;Tiputa;22/01/2021;
N006;Tiputa;25/01/2021;
N006;Tiputa;28/02/2021;
N006;Tiputa;03/03/2021;
N006;Tiputa;08/02/2021;
N006;Tiputa;06/02/2023;
N007;Tiputa;15/02/2021;
N007;Tiputa;22/07/2021;
N007;Tiputa;14/12/2016;
N007;Tiputa;07/10/2021;
N008;Tikehau;XX/04/2018;
N008;Tikehau;19/10/2019;
N008;Tikehau;11/07/2020;
N008;Tikehau;12/01/2021;
N008;Tikehau;13/01/2021;
N008;Tikehau;03/02/2021;
N008;Tikehau;16/02/2022;
N008;Tikehau;28/11/2020;
N008;Tikehau;04/02/2023;
N008;Tikehau;07/02/2023;
N008;Tikehau;08/02/2023;
N008;Tikehau;19/05/2023;
N008;Tikehau;21/06/2023;
N008;Tikehau;26/11/2024;
N008;Tikehau;27/01/2025;
N009;Tiputa;15/01/2017;
N009;Tiputa;13/01/2021;
N009;Tiputa;18/04/2019;
N009;Tiputa;10/01/2023;
N009;Tiputa;30/12/2024;
N009;Tiputa;03/01/2025;
N010;Tikehau/Tiputa;XX/04/2018;
N010;Tikehau/Tiputa;21/11/2019;
N010;Tikehau/Tiputa;28/11/2020;
N010;Tikehau/Tiputa;13/01/2021;
N010;Tikehau/Tiputa;18/11/2021;
N010;Tikehau/Tiputa;12/02/2022;
N010;Tikehau/Tiputa;17/02/2022;
N010;Tikehau/Tiputa;25/02/2022;
N010;Tikehau/Tiputa;05/03/2022;
N010;Tikehau/Tiputa;05/08/2022;
N010;Tikehau/Tiputa;06/03/2024;
N010;Tikehau/Tiputa;22/09/2024;
N010;Tikehau/Tiputa;06/01/2025;
N010;Tikehau/Tiputa;26/01/2025;
N011;Tiputa;25/12/2018;
N011;Tiputa;05/01/2021;
N011;Tiputa;15/01/2021;
N011;Tiputa;01/02/2021;
N011;Tiputa;03/02/2021;
N011;Tiputa;02/05/2021;
N011;Tiputa;17/02/2023;
N011;Tiputa;19/02/2023;
N011;Tiputa;21/02/2021;
N012;Tiputa;09/06/2013;
N012;Tiputa;12/01/2017;
N012;Tiputa;15/01/2021;
N012;Tiputa;07/01/2024;
N012;Tiputa;17/01/2024;
N012;Tiputa;24/01/2024;
N012;Tiputa;25/01/2024;
N012;Tiputa;29/01/2024;
N012;Tiputa;21/02/2024;
N012;Tiputa;08/01/2024;
N013;Tiputa;17/01/2021;
N013;Tiputa;03/02/2021;
N013;Tiputa;11/01/2023;
N013;Tiputa;21/02/2023;
N015;Tiputa;19/01/2021;
N015;Tiputa;10/02/2021;
N015;Tiputa;24/12/2020;
N016;Tiputa;25/01/2021;
N017;Tiputa;25/01/2021;
N017;Tiputa;22/02/2021;
N017;Tiputa;11/04/2021;
N017;Tiputa;12/03/2024;
N018;Tiputa;08/01/2021;
N018;Tiputa;27/01/2021;
N018;Tiputa;29/12/2020;
N018;Tiputa;10/01/2023;
N019;Tiputa;03/02/2021;
N019;Tiputa;27/01/2022;
N020;Tiputa;30/01/2021;
N021;Tiputa;XX/05/2018;
N021;Tiputa;10/05/2018;
N021;Tiputa;07/02/2021;
N021;Tiputa;27/05/2021;
N021;Tiputa;10/06/2022;
N021;Tiputa;02/08/2022;
N021;Tiputa;11/01/2024;
N021;Tiputa;29/06/2023;
N022;Tiputa;10/12/2016;
N022;Tiputa;27/01/2021;
N022;Tiputa;23/01/2021;
N022;Tiputa;05/02/2017;
N022;Tiputa;28/01/2017;
N023;Tikehau/Avatoru;05/03/2020;
N023;Tikehau/Avatoru;XX/11/2020;
N023;Tikehau/Avatoru;01/02/2021;
N023;Tikehau/Avatoru;02/02/2021;
N023;Tikehau/Avatoru;04/02/2021;
N023;Tikehau/Avatoru;17/03/2021;
N023;Tikehau/Avatoru;15/04/2021;
N023;Tikehau/Avatoru;22/12/2025;
N024;Tiputa;02/02/2021;
N024;Tiputa;01/04/2019;
N024;Tiputa;21/04/2021;
N024;Tiputa;11/03/2024;
N025;Tikehau;03/02/2021;
N026;Tikehau;26/03/2018;
N026;Tikehau;01/02/2021;
N026;Tikehau;08/02/2021;
N028;Tiputa;XX/XX/2017;
N028;Tiputa;16/07/2018;
N028;Tiputa;XX/XX/2019;
N028;Tiputa;04/02/2021;
N028;Tiputa;06/10/2021;
N028;Tiputa;01/07/2022;
N028;Tiputa;31/12/2022;
N028;Tiputa;21/05/2023;
N028;Tiputa;31/01/2024;
N028;Tiputa;01/02/2024;
N028;Tiputa;07/02/2025;
N028;Tiputa;11/03/2025;
N029;Tiputa;11/01/2009;
N029;Tiputa;07/01/2019;
N029;Tiputa;17/01/2019;
N029;Tiputa;22/02/2021;
N029;Tiputa;12/12/2022;
N029;Tiputa;06/03/2023;
N029;Tiputa;09/01/2025;
N029;Tiputa;24/01/2025;
N030;Tiputa;23/02/2021;
N030;Tiputa;11/03/2021;
N030;Tiputa;23/01/2023;
N031;Tiputa;25/02/2021;
N031;Tiputa;26/02/2021;
N031;Tiputa;18/01/2019;
N031;Tiputa;30/12/2024;
N031;Tiputa;29/01/2025;
N031;Tiputa;12/03/2025;
N031;Tiputa;23/03/2025;
N032;Tiputa;04/03/2021;
N033;Tiputa;29/12/2017;
N033;Tiputa;10/04/2018;
N033;Tiputa;07/01/2019;
N033;Tiputa;18/04/2019;
N033;Tiputa;20/03/2019;
N033;Tiputa;21/02/2020;
N033;Tiputa;29/12/2020;
N033;Tiputa;28/02/2021;
N033;Tiputa;01/03/2021;
N033;Tiputa;03/03/2021;
N033;Tiputa;17/12/2021;
N033;Tiputa;04/01/2024;
N033;Tiputa;31/01/2025;
N033;Tiputa;09/03/2025;
N034;Tiputa;23/01/2021;
N034;Tiputa;27/01/2021;
N034;Tiputa;04/05/2021;
N034;Tiputa;24/12/2023;
N034;Tiputa;25/01/2023;
N034;Tiputa;06/03/2023;
N034;Tiputa;02/02/2024;
N034;Tiputa;18/03/2024;
N034;Tiputa;07/02/2025;
N034;Tiputa;08/02/2025;
N035;Tiputa;21/12/2020;
N035;Tiputa;04/01/2021;
I001;Tiputa;24/01/2014;
I001;Tiputa;10/01/2016;
I001;Tiputa;22/03/2019;
I001;Tiputa;16/04/2019;
I001;Tiputa;21/12/2019;
I001;Tiputa;20/01/2020;
I001;Tiputa;26/01/2020;
I001;Tiputa;13/11/2021;
I001;Tiputa;06/01/2022;
I001;Tiputa;16/03/2022;
I001;Tiputa;24/12/2021;
I001;Tiputa;22/02/2022;
I001;Tiputa;27/12/2023;
I001;Tiputa;28/01/2024;
I001;Tiputa;06/02/2024;
I001;Tiputa;21/03/2024;
I001;Tiputa;23/03/2024;
I001;Tiputa;24/03/2024;
I002;Tiputa;15/01/2018;
I002;Tiputa;16/01/2018;
I002;Tiputa;10/05/2018;
I002;Tiputa;21/07/2018;
I002;Tiputa;28/12/2019;
I002;Tiputa;20/01/2020;
I002;Tiputa;15/02/2022;
I002;Tiputa;26/12/2023;
I002;Tiputa;10/01/2023;
I002;Tiputa;28/12/2023;
I003;Tiputa;08/02/2020;
I004;Tiputa;08/02/2020;
I005;Tiputa;26/01/2020;
I006;Tiputa;26/12/2018;
I006;Tiputa;31/12/2018;
I006;Tiputa;18/01/2019;
I006;Tiputa;23/01/2019;
I006;Tiputa;21/01/2020;
I006;Tiputa;25/01/2020;
I006;Tiputa;28/12/2020;
I006;Tiputa;17/01/2021;
I006;Tiputa;01/02/2021;
I006;Tiputa;03/02/2021;
I006;Tiputa;13/03/2017;
I006;Tiputa;02/01/2023;
I006;Tiputa;17/01/2023;
I006;Tiputa;16/02/2023;
I007;Tiputa;07/01/2015;
I007;Tiputa;21/12/2019;
I007;Tiputa;26/01/2020;
I007;Tiputa;29/01/2020;
I007;Tiputa;26/12/2023;
I007;Tiputa;28/12/2023;
I007;Tiputa;21/01/2024;
I008;Tiputa;08/02/2020;
I008;Tiputa;09/03/2023;
I008;Tiputa;21/03/2024;
I008;Tiputa;26/03/2025;
I009;Tiputa;25/01/2020;
I009;Tiputa;29/01/2020;
I009;Tiputa;08/01/2018;
I009;Tiputa;04/12/2019;
I009;Tiputa;08/01/2024;
I009;Tiputa;11/01/2024;
I009;Tiputa;30/01/2023;
I009;Tiputa;10/01/2024;
I009;Tiputa;11/01/2024;
I009;Tiputa;12/03/2024;
I009;Tiputa;17/03/2024;
I010;Tiputa;11/01/2008;
I010;Tiputa;25/01/2010;
I010;Tiputa;26/01/2010;
I010;Tiputa;XX/01/2015;
I010;Tiputa;12/01/2016;
I010;Tiputa;29/01/2018;
I010;Tiputa;08/02/2020;
I010;Tiputa;15/12/2021;
I010;Tiputa;21/12/2021;
I010;Tiputa;12/02/2022;
I010;Tiputa;30/03/2022;
I010;Tiputa;04/01/2024;
I010;Tiputa;07/01/2024;
I010;Tiputa;09/01/2024;
I010;Tiputa;21/01/2024;
I010;Tiputa;22/01/2024;
I010;Tiputa;18/03/2024;
I011;Tiputa;31/12/2019;
I011;Tiputa;17/01/2020;
I011;Tiputa;08/02/2020;
I011;Tiputa;21/01/2021;
I011;Tiputa;28/01/2024;
I012;Tiputa/Fakarava;07/04/2019;
I012;Tiputa/Fakarava;12/02/2020;
I012;Tiputa/Fakarava;18/11/2021;
I012;Tiputa/Fakarava;04/01/2024;
I012;Tiputa/Fakarava;05/01/2025;
I013;Tiputa;28/12/2019;
I013;Tiputa;08/02/2020;
I013;Tiputa;25/01/2020;
I013;Tiputa;09/03/2022;
I014;Tiputa;22/01/2018;
I014;Tiputa;08/02/2020;
I014;Tiputa;28/12/2019;
I015;Tiputa;26/01/2020;
I016;Tiputa;17/01/2020;
I016;Tiputa;25/01/2020;
I016;Tiputa;26/01/2020;
I016;Tiputa;23/12/2023;
I016;Tiputa;29/12/2023;
I016;Tiputa;30/12/2023;
I017;Tiputa;25/01/2020;
I017;Tiputa;13/02/2023;
I017;Tiputa;03/01/2024;
I018;Tiputa;15/01/2020;
I019;Tiputa;30/01/2020;
I019;Tiputa;21/01/2021;
I019;Tiputa;22/01/2021;
I019;Tiputa;12/02/2021;
I019;Tiputa;16/02/2021;
I019;Tiputa;24/02/2021;
I019;Tiputa;27/02/2021;
I019;Tiputa;08/02/2021;
I019;Tiputa;26/02/2021;
I019;Tiputa;01/02/2023;
I019;Tiputa;03/02/2023;
I019;Tiputa;07/02/2023;
I019;Tiputa;16/02/2023;
I019;Tiputa;19/02/2023;
I019;Tiputa;03/02/2024;
I020;Tiputa;XX/XX/2016;
I020;Tiputa;10/05/2017;
I020;Tiputa;29/01/2018;
I020;Tiputa;31/01/2018;
I020;Tiputa;22/05/2018;
I020;Tiputa;08/02/2020;
I020;Tiputa;17/12/2021;
I020;Tiputa;24/12/2021;
I020;Tiputa;26/12/2021;
I020;Tiputa;20/01/2022;
I020;Tiputa;23/02/2022;
I020;Tiputa;13/03/2022;
I020;Tiputa;06/01/2022;
I020;Tiputa;05/03/2023;
I020;Tiputa;13/04/2023;
I020;Tiputa;28/12/2023;
I020;Tiputa;02/01/2024;
I020;Tiputa;21/01/2024;
I020;Tiputa;26/01/2024;
I020;Tiputa;01/02/2024;
I020;Tiputa;03/02/2024;
I020;Tiputa;24/01/2024;
I020;Tiputa;02/08/2024;
I020;Tiputa;22/03/2024;
I021;Tiputa;12/01/2020;
I022;Avatoru;10/11/2018;
I022;Avatoru;17/01/2020;
I022;Avatoru;05/04/2023;
I022;Avatoru;24/03/2024;
I023;Tiputa;30/01/2018;
I023;Tiputa;01/12/2018;
I023;Tiputa;28/12/2018;
I023;Tiputa;04/01/2019;
I023;Tiputa;18/12/2019;
I023;Tiputa;18/01/2021;
I023;Tiputa;20/01/2021;
I023;Tiputa;25/01/2021;
I023;Tiputa;19/02/2023;
I023;Tiputa;13/03/2025;
A001;Tiputa;17/01/2017;
A002;Tiputa;26/12/2009;
A002;Tiputa;19/01/2017;
A003;Tiputa;19/11/2013;
A003;Tiputa;10/12/2014;
A003;Tiputa;22/01/2015;
A004;Tiputa;31/01/2015;
A005;Tiputa;15/12/2017;
A005;Tiputa;22/12/2017;
A005;Tiputa;08/01/2018;
A005;Tiputa;29/01/2018;
A006;Tikehau/Rangiroa;25/01/2015;
A006;Tikehau/Rangiroa;XX/01/2015;
A006;Tikehau/Rangiroa;09/12/2017;
A006;Tikehau/Rangiroa;17/04/2018;
A006;Tikehau/Rangiroa;12/05/2018;
A007;Tiputa;XX/XX/2016;
A007;Tiputa;21/12/2017;
A007;Tiputa;10/04/2018;
A007;Tiputa;04/05/2022;
A007;Tiputa;26/12/2022;
A007;Tiputa;10/01/2023;
A007;Tiputa;04/01/2024;
A007;Tiputa;07/01/2024;
A008;Tiputa;02/01/2019;
A008;Tiputa;07/01/2019;
A008;Tiputa;18/01/2019;
A009;Tiputa;10/12/2014;
A009;Tiputa;XX/XX/2007;
A010;Tiputa;11/12/2006;
A010;Tiputa;07/01/2008;
A010;Tiputa;12/02/2008;
A010;Tiputa;23/02/2008;
A010;Tiputa;15/02/2015;
A010;Tiputa;XX/08/2017;
A011;Tiputa;27/12/2007;
A011;Tiputa;14/02/2010;
A011;Tiputa;06/02/2022;
A011;Tiputa;18/03/2022;
A012;Tiputa;13/09/2020;
A013;Tiputa;05/08/2017;
A014;Tiputa;19/09/2007;
A014;Tiputa;21/09/2015;
A014;Tiputa;26/09/2015;
A014;Tiputa;08/08/2018;
A014;Tiputa;13/06/2025;
A014;Tiputa;14/08/2025;
A015;Tiputa/Avatoru;23/11/2008;
A015;Tiputa/Avatoru;29/12/2009;
A015;Tiputa/Avatoru;11/03/2010;
A016;Tiputa;25/12/2018;
A017;Tiputa;07/10/2017;
A017;Tiputa;26/10/2018;
A019;Tiputa;25/08/2019;
A018;Tiputa;26/09/2012;
A018;Tiputa;11/09/2014;
A020;Tiputa;07/08/2020;
A021;Avatoru;13/10/2006;
A022;Tiputa;06/01/2007;
A023;Tiputa;20/08/2019;
A023;Tiputa;25/08/2019;
A024;Tiputa;26/01/2010;
A024;Tiputa;20/08/2019;
A025;Tiputa;22/08/2019;
A025;Tiputa;20/08/2019;
A026;Tiputa;24/01/2008;
A027;Tikehau;18/10/2017;
A028;Tiputa;15/09/2018;
A029;Tiputa;22/10/2009;
A030;Tiputa;19/06/2018;
A030;Tiputa;04/10/2018;
A031;Tiputa;07/09/2010;
A032;Tiputa;26/12/2018;
A033;Tiputa;09/04/2019;
A034;Tiputa;12/01/2017;
A035;Tiputa;06/01/2019;
A035;Tiputa;28/12/2020;
A035;Tiputa;10/08/2022;
A035;Tiputa;15/12/2022;
A035;Tiputa;06/03/2025;
A036;Tiputa;26/12/2016;
A037;Tiputa;19/01/2018;
A038;Tiputa;25/09/2017;
A039;Tiputa;03/01/2018;
A040;Tiputa;20/01/2018;
A040;Tiputa;XX/01/2018;
A041;Tiputa;09/03/2018;
A041;Tiputa;18/03/2025;
A042;Tiputa;20/04/2018;
A043;Tiputa;10/01/2016;
A044;Tiputa;17/12/2007;
A045;Tiputa;19/12/2007;
MO01;Tiputa;XX/01/2017;
MO01;Tiputa;21/09/2017;
MO01;Tiputa;28/04/2020;
MO01;Tiputa;XX/01/2021;
MO01;Tiputa;24/06/2021;
MO01;Tiputa;25/12/2021;
MO01;Tiputa;22/06/2022;
MO01;Tiputa;26/07/2022;
MO01;Tiputa;01/08/2022;
MO01;Tiputa;03/11/2021;
MO01;Tiputa;18/02/2019;
MO01;Tiputa;07/02/2022;
MO01;Tiputa;03/01/2023;
MO01;Tiputa;16/01/2023;
MO01;Tiputa;08/02/2023;
MO01;Tiputa;11/02/2023;
MO01;Tiputa;14/02/2023;
MO01;Tiputa;17/02/2023;
MO01;Tiputa;12/03/2023;
MO01;Tiputa;15/03/2023;
MO01;Tiputa;23/07/2023;
MO01;Tiputa;25/12/2023;
MO01;Tiputa;27/12/2023;
MO01;Tiputa;03/01/2024;
MO01;Tiputa;19/01/2024;
MO01;Tiputa;13/12/2024;
MO02;Tiputa;22/07/2021;
MO02;Tiputa;15/02/2021;
MO02;Tiputa;05/10/2021;
MO02;Tiputa;07/03/2023;
MO03;Tiputa;13/08/2010;
MO03;Tiputa;10/09/2021;
MO04;Tiputa;13/09/2021;
MO05;Tiputa;03/08/2021;
MO06;Tiputa;24/09/2021;
MO07;Tiputa/Avatoru;25/09/2021;
MO07;Tiputa/Avatoru;10/11/2018;
MO08;Tiputa;26/09/2021;
MO09;Tiputa;20/10/2021;
MO09;Tiputa;21/09/2024;
MO11;Tiputa;26/10/2021;
MO13;Tiputa;10/04/2018;
MO13;Tiputa;19/11/2021;
MO14;Tiputa;08/12/2021;
MO14;Tiputa;07/10/2017;
MO15;Tiputa;12/11/2021;
MO16;Tiputa;18/12/2016;
MO16;Tiputa;14/01/2017;
MO16;Tiputa;15/12/2021;
MO16;Tiputa;21/09/2017;
MO16;Tiputa;18/04/2019;
MO16;Tiputa;28/12/2023;
MO16;Tiputa;30/12/2023;
MO16;Tiputa;23/01/2024;
MO17;Tiputa;14/12/2021;
MO17;Tiputa;27/12/2023;
MO18;Fakarava;08/07/2021;
MO18;Fakarava;17/12/2025;
MO19;Tiputa;06/09/2022;
O001;Tiputa;26/12/2022;
O002;Tiputa;03/01/2023;
O002;Tiputa;10/01/2023;
O002;Tiputa;13/02/2023;
O002;Tiputa;16/02/2023;
O003;Tiputa;03/01/2023;
O004;Tiputa;08/03/2023;
O004;Tiputa;06/03/2023;
O004;Tiputa;10/03/2023;
O004;Tiputa;22/01/2024;
O004;Tiputa;23/01/2024;
O004;Tiputa;24/01/2024;
O004;Tiputa;25/01/2024;
O004;Tiputa;26/01/2024;
O005;Tiputa;10/01/2023;
O006;Tiputa;11/01/2023;
O007;Tiputa;24/01/2023;
O007;Tiputa;15/02/2023;
O007;Tiputa;27/02/2023;
O007;Tiputa;16/02/2024;
O008;Tiputa;31/01/2023;
O008;Tiputa;04/03/2023;
O009;Tiputa;07/02/2023;
O009;Tiputa;10/02/2023;
O010;Tiputa;11/02/2023;
O010;Tiputa;21/02/2023;
O011;Tiputa;15/02/2023;
O011;Tiputa;02/03/2023;
O011;Tiputa;04/03/2023;
O011;Tiputa;08/03/2023;
O012;Tiputa;16/02/2023;
O013;Tiputa;18/02/2023;
O013;Tiputa;24/03/2024;
O013;Tiputa;08/02/2025;
O013;Tiputa;28/12/2018;
O014;Tiputa;24/02/2023;
O014;Tiputa;09/03/2022;
O014;Tiputa;16/03/2022;
O015;Tiputa;02/03/2023;
O015;Tiputa;04/03/2023;
O016;Tiputa;05/02/2023;
O016;Tiputa;11/03/2023;
O016;Tiputa;10/03/2023;
O016;Tiputa;27/12/2023;
O016;Tiputa;28/12/2023;
O016;Tiputa;30/12/2023;
O017;Tiputa;16/03/2023;
O018;Tikehau;08/02/2023;
O018;Tikehau;09/02/2023;
O018;Tikehau;25/03/2023;
O018;Tikehau;20/02/2023;
V001;Tiputa;23/12/2023;
V002;Tiputa;26/12/2023;
V003;Tiputa;27/12/2023;
V003;Tiputa;22/12/2023;
V004;Tiputa;28/12/2023;
V005;Tiputa;27/12/2023;
V005;Tiputa;30/12/2023;
V006;Tiputa;31/12/2023;
V007;Tiputa;04/01/2024;
V008;Tiputa;20/01/2024;
V009;Tiputa;30/12/2023;
V009;Tiputa;22/01/2024;
V009;Tiputa;24/01/2024;
V010;Tiputa;22/01/2024;
V010;Tiputa;25/01/2024;
V011;Tiputa;20/12/2023;
V011;Tiputa;24/01/2024;
V012;Tiputa;27/01/2024;
V013;Tiputa;31/01/2024;
V014;Tiputa;01/02/2024;
V014;Tiputa;26/07/2023;
V015;Tiputa;06/02/2024;
V016;Tiputa;21/02/2024;
V018;Tiputa;22/03/2024;
V019;Tiputa;22/03/2024;
V020;Tiputa;24/03/2024;
V021;Toau;26/10/2023;
T001;Tikehau;22/09/2024;
T002;Tiputa;24/12/2024;
T002;Tiputa;22/12/2024;
T003;Tiputa;05/02/2025;
T004;Tiputa;08/02/2025;
T004;Tiputa;13/02/2025;
T005;Tikehau;25/01/2025;
T005;Tikehau;06/03/2025;
T006;Tikehau;28/01/2025;
T006;Tikehau;05/03/2025;
T006;Tikehau;07/03/2025;
T007;Tiputa;09/09/2024;
T008;Tiputa;22/12/2024;
T009;Tikehau;06/03/2025;
T010;Tikehau/Rangiroa;28/01/2025;
T010;Tikehau/Rangiroa;08/08/2025;
T011;Tikehau;07/03/2025;
T012;Tiputa;04/01/2025;
T013;Tiputa;21/02/2025;
T014;Toau;21/03/2025;
